,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
19669,6255,17,1,1,1,1272.06733729,1796.6114753,0.0694645568728,0.0694645568728,0.0,99.8765182715,0.154885402158,1.94945505427e-06,1.94945505427e-06,0.0,2021.48358185,-3.56294250488,0.0108775086701,0,32,0,0.0478725873729,0.0113643724286,-0.0252865292132,-0.0406494289637,0.00803582463413,0.00803582463413
19670,6255,16,1,1,1,772.112619303,3609.81817633,0.0688492432237,0.0688492432237,0.0,99.8765167913,0.154910920799,1.93264008885e-06,1.93264008885e-06,0.0,2021.4836772,-3.57463526726,0.0108529916033,0,32,0,0.0478725873729,0.0113643724286,-0.0252865292132,-0.0406494289637,0.00803582463413,0.00803582463413
19775,6286,18,1,1,1,2281.84980286,910.002785237,0.02496952191,0.02496952191,0.0,99.8345801766,0.158034196529,7.47154672354e-07,7.47154672354e-07,0.0,2021.48361363,-3.38095021248,0.00666592502967,0,0,0,0.0433808151282,0.00453985236827,-0.00735469069332,-0.0427528209984,0.00321016041562,0.00321016041562
19776,6286,17,1,1,1,2760.88251236,1892.02533953,0.02524519898,0.02524519898,0.0,99.8351629804,0.157534484641,7.54264704028e-07,7.54264704028e-07,0.0,2021.48358185,-3.39086198807,0.00661947485059,0,0,0,0.0433808151282,0.00453985236827,-0.00735469069332,-0.0427528209984,0.00321016041562,0.00321016041562
19777,6286,16,1,1,1,2323.74531934,3757.79382856,0.0254473593086,0.0254473593086,0.0,99.8334162998,0.159019260231,7.59528177241e-07,7.59528177241e-07,0.0,2021.4836772,-3.38624644279,0.00666765868664,0,0,0,0.0433808151282,0.00453985236827,-0.00735469069332,-0.0427528209984,0.00321016041562,0.00321016041562
20353,6463,19,1,1,1,1843.44873813,483.439603814,0.00682843849063,0.00682843849063,0.0,99.8467585415,0.173961479886,3.36368088938e-07,3.36368088938e-07,0.0,2021.48364541,-3.7928621769,0.00490590091795,0,0,0,0.130440332836,0.00770523287116,-0.0278341379017,-0.127436026931,0.00544842239469,0.00544842239469
20354,6463,18,1,1,1,1839.42119909,1476.53160166,0.00676231971011,0.00676231971011,0.0,99.8468702675,0.173770476655,3.35328991241e-07,3.35328991241e-07,0.0,2021.48361363,-3.81391835213,0.00484353443608,0,0,0,0.130440332836,0.00770523287116,-0.0278341379017,-0.127436026931,0.00544842239469,0.00544842239469
20355,6463,17,1,1,1,2335.2440951,2468.3751043,0.00670787319541,0.00670787319541,0.0,99.8469858247,0.173543855953,3.34482280095e-07,3.34482280095e-07,0.0,2021.48358185,-3.80603599548,0.00486425217241,0,64,0,0.130440332836,0.00770523287116,-0.0278341379017,-0.127436026931,0.00544842239469,0.00544842239469
20470,6497,19,1,1,1,3185.90706225,623.057101634,0.157460331917,0.157460331917,0.0,99.8094679544,0.177838732717,4.38280540038e-06,4.38280540038e-06,0.0,2021.48364541,-2.49243402481,0.0221561938524,0,32,0,0.118977971127,0.00821655639478,-0.0197227969766,-0.117331877351,0.00580998277292,0.00580998277292
20471,6497,18,1,1,1,3186.25512327,1623.27733557,0.162417590618,0.162417590618,0.0,99.8094587775,0.177845539032,4.52014955954e-06,4.52014955954e-06,0.0,2021.48361363,-2.52440977097,0.0218222141266,0,32,0,0.118977971127,0.00821655639478,-0.0197227969766,-0.117331877351,0.00580998277292,0.00580998277292
